LinkRef,LinkName,GeographyWkt
"200:1628->200:1629","Amager Hospital (1628) - Persiensvej (1629)","LINESTRING (12.619060339922541 55.65390633369605, 12.619153365065007 55.653772590112929, 12.619325594883021 55.6535314651932, 12.619424506609446 55.653362642463613, 12.619535589887377 55.653179252884939, 12.619684779997225 55.652933232702736, 12.619903405551415 55.652560892489369, 12.620006591060335 55.652397068405932, 12.620276802312604 55.65193076626305, 12.620426821262017 55.651680044684916, 12.620480027376084 55.651555372811373, 12.620567377856597 55.651325205453361, 12.620621307758761 55.6511687955035)"
"200:1273->200:1274","Fasanvej St. (1273) - Peter Bangs Vej (1274)","LINESTRING (12.522605596693406 55.681618744390725, 12.522470523101594 55.681442218635929, 12.52243894930376 55.68139906671238, 12.522300376245866 55.681210267054574, 12.522119648354813 55.680943821657515, 12.521970074237142 55.680682235884682, 12.521828766944633 55.680416995719185, 12.521792387907869 55.680348715242935, 12.521623970008216 55.679941286954694, 12.521406653225787 55.679382944918473, 12.521234975982741 55.678960413967246, 12.521192648300056 55.678856175959289)"
"200:112->200:113","Englandsvej (112) - Røde Mellemvej (113)","LINESTRING (12.597593708594113 55.642535965865164, 12.597480172655615 55.642535534431104, 12.596595745937545 55.642534157186759, 12.595873338709021 55.642532875517588, 12.595107654193281 55.6425312405676, 12.594098652703353 55.642528913686732, 12.59329220067648 55.642528283095096, 12.592920734164636 55.642529282704409, 12.59267227845535 55.642533239323278, 12.592430075773548 55.642541238333877, 12.59211737459454 55.642548515709009, 12.591744581684191 55.642548921190212, 12.591431615675448 55.642542896578057, 12.591185897222493 55.642517726168, 12.590942494282841 55.642490059614886, 12.59089314299079 55.642484283962666)"
"200:1276->200:1277","Roskildevej (1276) - Aurikelvej (1277)","LINESTRING (12.517967973267661 55.671540999029837, 12.517865494052337 55.671346650952572, 12.517750705535558 55.671087209777511, 12.517385771636475 55.67027108163694, 12.517374605512902 55.670245955741116, 12.517311420829573 55.67009158426707, 12.517183058496238 55.669792519418728, 12.517145053839551 55.669663411270506, 12.517126975793509 55.669571945797465, 12.517120706703928 55.669470250813127, 12.51711500439025 55.669323491656847, 12.517123754795085 55.669066620393671, 12.517152365166805 55.668756308803765, 12.517157495628975 55.668646913688129, 12.517159268898554 55.668608198938578, 12.517171978348914 55.668419638332438)"
"200:10426->200:1231","Valby St. (10426) - Valby Langgade (1231)","LINESTRING (12.51615373665337 55.663958520672992, 12.516140270104293 55.664012867219057, 12.516135374644799 55.664256050587454, 12.516140764433343 55.664294829639239, 12.516145089334255 55.664417440948334, 12.516195698037233 55.664472636568476, 12.516337539101759 55.664627989526906, 12.516471123290408 55.664838427930988, 12.516698573016672 55.665181857056346, 12.516805242621251 55.665338757883674, 12.516897688681329 55.665484287642222, 12.517007235689034 55.665667900748524, 12.517106082485418 55.665870523261979, 12.517180067237218 55.666074398441282, 12.517238432520301 55.666231875428053, 12.517262964840256 55.666381061655123, 12.517254254963683 55.666608259571859, 12.517248369488465 55.66686513865772, 12.517244416679729 55.666953157536526)"
"200:2757->200:10017","Bispebjerg St. (2757) - Nørrebro Bycenter (10017)","LINESTRING (12.542138705230558 55.706458864592278, 12.541953408106522 55.706569307665, 12.541899539047002 55.706605750691793, 12.541892178655035 55.706610638873052, 12.541857601213147 55.706631508798409, 12.541742406580475 55.706701193196473, 12.541495718360082 55.706868097074604, 12.541383925493385 55.706943707309073, 12.541332486613983 55.706980619410167, 12.540937547099018 55.707263747893279, 12.540643112730738 55.707499645336078, 12.540443260824469 55.707659800095541, 12.539999638104703 55.708040361147354, 12.539669731900187 55.708338422854, 12.539388627774684 55.708167510142836, 12.53911430132881 55.707927165642396, 12.538932968281216 55.707716597661474, 12.538776664925003 55.707490471179938, 12.538699866067782 55.707335153094576, 12.538637171856688 55.707154431333166, 12.538496489466386 55.706636255022175, 12.538356424710347 55.706098458987668, 12.538277920585836 55.70575526458385, 12.538275627644275 55.705744001255276, 12.538264569864088 55.7056886619548, 12.538164856680629 55.705188455791, 12.538127168371215 55.704998920074608, 12.538109772680841 55.704914001239075, 12.537988696085211 55.70432528419316)"
"200:1627->200:1628","Sundby Kirkegård (1627) - Amager Hospital (1628)","LINESTRING (12.616299340648794 55.65711761367416, 12.61674162342525 55.656450638249645, 12.616756600268332 55.656428525705252, 12.617056500574437 55.655986803160175, 12.617345545095372 55.655541263815685, 12.617419768711141 55.655449423431385, 12.617471721604323 55.655388543195826, 12.617740762547806 55.655155354024387, 12.618450672011909 55.65453993991288, 12.618702589271765 55.654317774537326, 12.618878486479593 55.654136968149786, 12.619050175438714 55.653920947262641, 12.619060339922541 55.65390633369605)"
"200:7058->200:10025","Vestre Kirkegård Nord (7058) - Toftegårds Plads (10025)","LINESTRING (12.523307532385925 55.662483641597305, 12.523072772720582 55.662470407193148, 12.522509346568887 55.662433097091174, 12.521951780979474 55.6623937278091, 12.521629106916441 55.662359118112811, 12.521363910590264 55.662309189367882, 12.52097868650799 55.662208667716619, 12.51942820326696 55.6618643009212, 12.519106553864969 55.661791440904864, 12.518974626472986 55.661773018547606, 12.518697474601202 55.661758134932484, 12.518333163694111 55.661746695196889)"
"200:27999->200:28006","Bella Center, Indgang Vest (27999) - Bella Center St. (28006)","LINESTRING (12.577792140872443 55.639330389969111, 12.579641940693248 55.639095845809805, 12.580746127623733 55.638943296156647, 12.581116615809613 55.638895424077042, 12.581328725938292 55.638868004945927, 12.581993636675742 55.638781818205395)"
"200:1254->200:1255","Østerbrogade (1254) - Thomas Laubs Gade (1255)","LINESTRING (12.576872322108063 55.714722408521681, 12.576186625310484 55.71466898469199, 12.575539546614756 55.714601974433776, 12.574877440067954 55.714543041705369, 12.574849366006708 55.714617502323982, 12.574430968143854 55.714583145310783, 12.574199556688736 55.714564142167291, 12.574220007836402 55.714484688586204, 12.573567676120888 55.714431578450373, 12.572901000902059 55.714373127885928, 12.572141680967238 55.714302963100479)"
"200:10116->200:1258","Nygårdsvej (10116) - Skt. Kjelds Plads (1258)","LINESTRING (12.569281183838552 55.711635484299464, 12.569357897834378 55.711362784192723, 12.5683665425607 55.711142104025114, 12.56742505250778 55.710944153684729, 12.566552557014838 55.710749945067526, 12.566153923743785 55.710662714935594, 12.566003251661588 55.710648661875553, 12.565822957078565 55.710657319606874, 12.565725229596181 55.710665605369996)"
"200:2747->200:1220","Vandrerhjem (2747) - Artillerivej (1220)","LINESTRING (12.574770247305315 55.641095822482924, 12.573795783319222 55.641135438184321, 12.572453771894439 55.641196055224718, 12.570801789606785 55.641271174241012, 12.569018861234 55.641353950760589, 12.567417457116624 55.641425932451888, 12.56609673676852 55.641490085885039, 12.564796593139292 55.641541037979273, 12.563836290546682 55.64156680839573, 12.563701721093487 55.641566045740348, 12.563456289811521 55.641564729846131, 12.562738517548844 55.641523656787847)"
"200:10017->200:1989","Nørrebro Bycenter (10017) - Nørrebro St. (1989)","LINESTRING (12.537988696085211 55.70432528419316, 12.537920444631803 55.7039934128992, 12.537718181071634 55.703294122012181, 12.53771406504255 55.703280303678582, 12.537710180839097 55.703267287906492, 12.537629149844042 55.702996368917553, 12.537564990650667 55.702693672395142, 12.537558813247026 55.702660581479, 12.537479196690031 55.702229210741926, 12.537420663711064 55.701948201588415, 12.537356292664319 55.701741721645639, 12.537299899140109 55.701600560681548, 12.537274313014178 55.701507785469119, 12.537273654326471 55.701419506549243, 12.537290577055233 55.701335486183808, 12.537265131287356 55.701152700593276, 12.537219109534725 55.700981837832209, 12.537212063038934 55.700954976196662, 12.537094444234475 55.700685551636184)"
"200:113->200:28007","Røde Mellemvej (113) - Digevej (28007)","LINESTRING (12.59089314299079 55.642484283962666, 12.590670891293209 55.642458273260232, 12.590476935459055 55.642423672021387, 12.590181312992122 55.642365702549569, 12.589789127342266 55.6422706368957, 12.589117834407119 55.642093016092382, 12.58877566145612 55.642000618870007, 12.588215667923208 55.641849047551851, 12.587689209491876 55.641707731875222, 12.586968474689968 55.641514282538232, 12.586942648170087 55.641507387899857)"
"200:45842->200:28002","Vandrerhjem (45842) - Bella Center St. (28002)","LINESTRING (12.576881315473633 55.64089456991622, 12.576882546316513 55.640894504021112, 12.577874629471943 55.640854844731777, 12.57907415211039 55.640806152176943, 12.579916368490268 55.64076536786331, 12.580619127743393 55.640732968367381, 12.581269772165681 55.640700918788291, 12.581814033773357 55.640675571715747, 12.58246843605262 55.640665525875178, 12.58309032646086 55.640685920381173, 12.583586937265144 55.640721934272314, 12.58354386854373 55.640626441208504, 12.583494884730662 55.64052015102034, 12.583480080663184 55.640486467015783, 12.583460159044392 55.640441138840515, 12.583276977893945 55.639899789794192, 12.58319226774594 55.639620012073756, 12.582879715174903 55.638892806712796, 12.58284840128448 55.638725844165023, 12.582838418853751 55.638672274763927, 12.582101247380336 55.638767827209747, 12.582049718193318 55.638774548652457, 12.581929368280862 55.638790148945596)"
"200:1272->200:1273","Nyelandsvej (1272) - Fasanvej St. (1273)","LINESTRING (12.525103231088496 55.684805986402829, 12.524669244244842 55.684266607543812, 12.524555925283138 55.684146409648093, 12.524115765423714 55.683600860255595, 12.523677487187365 55.683015962037771, 12.523537974127395 55.682838070489389, 12.523170550745029 55.682357685323971, 12.522988985456175 55.682128040805054, 12.522831762492617 55.681917748033669, 12.522738236122594 55.681792753965311, 12.522725924898911 55.681776203406422, 12.522702628850201 55.681743693594782, 12.522686454262276 55.681723117874469, 12.522636808720266 55.681659534688883, 12.522605596693406 55.681618744390725)"
"200:27640->200:10526","Kastrupvej (27640) - Sundbyvester Plads (10526)","LINESTRING (12.623493546066923 55.646671324711576, 12.622322540004671 55.646487088513545, 12.621690657130653 55.64637708708203, 12.621417529360693 55.646343165206027, 12.621257347125699 55.6463321622081, 12.621149230496542 55.646327084036045, 12.620941313026517 55.646324324915078, 12.61964616982106 55.646366988199368, 12.618961483653166 55.64637039256808, 12.618406971494448 55.646368061661647, 12.618144447553362 55.646364572038692, 12.617869493821894 55.646353895507985, 12.617609251505854 55.646335500623152, 12.617113802274254 55.646270185129872, 12.616839400559687 55.6462379092664, 12.616577383352229 55.646217496431568, 12.616322706330799 55.646202531400419, 12.616058182706622 55.646196308815611, 12.615832249163295 55.646191285073847, 12.615384603989643 55.646202872369436, 12.615035013887567 55.6462139037416, 12.614796185795823 55.646219059670827, 12.614385264882712 55.646216791556348, 12.614585677175542 55.645749269473278)"
"200:1270->200:1272","Godthåbsvej (1270) - Nyelandsvej (1272)","LINESTRING (12.527096418514613 55.687396180530349, 12.526923319701982 55.687177037390818, 12.52665801997434 55.686829408093459, 12.526073916660794 55.686068339137684, 12.525441241681289 55.68524131682981, 12.525262446891359 55.685003862904779, 12.525103231088496 55.684805986402829)"
"200:28006->200:28008","Bella Center St. (28006) - Digevej (28008)","LINESTRING (12.581993636675742 55.638781818205395, 12.582049718193318 55.638774548652457, 12.582101247380336 55.638767827209747, 12.582838418853751 55.638672274763927, 12.58284840128448 55.638725844165023, 12.582879715174903 55.638892806712796, 12.58319226774594 55.639620012073756, 12.583276977893945 55.639899789794192, 12.583460159044392 55.640441138840515, 12.583494884730662 55.64052015102034, 12.58354386854373 55.640626441208504, 12.583586937265144 55.640721934272314, 12.583871661580819 55.6407513741536, 12.583955437070257 55.640759984247111, 12.584010327870978 55.640765662420037, 12.584089961733792 55.640775922158426, 12.584377436756945 55.640812833596357, 12.584760888638671 55.640878768237471, 12.585263924739603 55.640974563196764, 12.585718356943241 55.641084726491364, 12.586131992736926 55.641195542399466, 12.586417544674415 55.641271057569675)"
"200:1192->200:1193","Bådehavnsgade (1192) - Sluseholmen (1193)","LINESTRING (12.542792285469124 55.64567857683997, 12.542952293591256 55.645540784231649, 12.543536823026683 55.644997870754828, 12.544055742844959 55.644482118122859, 12.544321240129074 55.644277881736706, 12.544443133225567 55.644184079875757, 12.544932353055321 55.6438816564089, 12.545351385834893 55.64363125516121, 12.545491801043388 55.643547166954072, 12.545968876736833 55.643296972640478, 12.54603628307876 55.64326463887344)"
"200:1248->200:1249","Lyngbyvej (1248) - Skt. Kjelds Plads (1249)","LINESTRING (12.561710988558094 55.710082054144387, 12.562883984836519 55.710314077775706, 12.563680466794558 55.710462684333145, 12.564623777564506 55.710639029921261, 12.564674360209061 55.710566705252226, 12.56476984393845 55.710497751481867, 12.564922125451726 55.71044387170015, 12.565137420917017 55.710443549488225, 12.56531971856346 55.710493550551639, 12.565452817953858 55.710585623925759, 12.565479213492003 55.710686463331641, 12.565822957078565 55.710657319606874, 12.566003251661588 55.710648661875553, 12.566153923743785 55.710662714935594, 12.566552557014838 55.710749945067526, 12.566863406399731 55.710819137918143)"
"200:1194->200:1195","Englandsvej (1194) - Irlandsvej (1195)","LINESTRING (12.599631960067132 55.642546145446012, 12.599813516280886 55.642554690640353, 12.601142067373901 55.642619067040563, 12.602414674152488 55.642678419513913, 12.603809293341998 55.642741904093732, 12.604187032225383 55.642758940631481, 12.605430166172569 55.642815801632729, 12.606748880712848 55.642876720143938, 12.607174734475583 55.642906898441808, 12.607431196051435 55.642931895918508)"
"200:1237->200:1239","Nyelandsvej (1237) - Godthåbsvej (1239)","LINESTRING (12.524968989445361 55.684639146505226, 12.525262446891359 55.685003862904779, 12.525441241681289 55.68524131682981, 12.526073916660794 55.686068339137684, 12.52665801997434 55.686829408093459, 12.526923319701982 55.687177037390818, 12.52712131102076 55.687427694220425, 12.527300581497853 55.687626018495465, 12.527544401423581 55.687869422108939, 12.528118116799563 55.688447534384359, 12.528209126931282 55.688540101298564)"
"200:1222->200:1223","Bådehavnsgade (1222) - Mozarts Plads (1223)","LINESTRING (12.541255045997625 55.64670569125132, 12.54110578237494 55.646749221116174, 12.540068624204123 55.647110345626004, 12.54000882426979 55.6471313150165, 12.539349601489127 55.64736210733885, 12.538720748725734 55.647578891296185, 12.537997418413974 55.647830679237742, 12.537478886905458 55.648027907215159, 12.537003776159999 55.648216506746373, 12.536750210432594 55.648231196788231, 12.536585520188275 55.64829511408746, 12.536501383349513 55.64832307808755, 12.535438395459575 55.648682569433106, 12.534974165023046 55.648863293959622, 12.534353578422822 55.6490823339824, 12.533848507376133 55.649251103859548, 12.533777564461296 55.649274412351822)"
"200:1232->200:1233","Aurikelvej (1232) - Roskildevej (1233)","LINESTRING (12.51714492350912 55.668837022300345, 12.517123754795085 55.669066620393671, 12.51711500439025 55.669323491656847, 12.517120706703928 55.669470250813127, 12.517126975793509 55.669571945797465, 12.517145053839551 55.669663411270506, 12.517183058496238 55.669792519418728, 12.517311420829573 55.67009158426707, 12.517374605512902 55.670245955741116, 12.517385771636475 55.67027108163694, 12.517750705535558 55.671087209777511, 12.517865494052337 55.671346650952572, 12.517883822255612 55.671381409872986)"
