;TimeOfDay;HeadwayTime_L1;LinkTravelTime_L1;HeadwayTime_L2;LinkTravelTime_L2;HeadwayTime_L3;LinkTravelTime_L3;DayType_1;DayType_2;DayType_3;LinkRef_200:10427->200:1183;LinkRef_200:1183->200:2673;LinkRef_200:1188->200:1190;LinkRef_200:1190->200:1192;LinkRef_200:1192->200:1193;LinkRef_200:2673->200:2675;LinkRef_200:2675->200:1188;LinkTravelTime
435814;15;355.0;47.0;332.0;71.0;1141.0;64.0;0;0;1;0;0;0;0;1;0;0;41.0
435843;15;614.0;50.0;916.0;44.0;1004.0;88.0;0;0;1;1;0;0;0;0;0;0;75.0
435844;15;624.0;55.0;952.0;55.0;1046.0;49.0;0;0;1;0;1;0;0;0;0;0;66.0
435845;15;638.0;61.0;972.0;72.0;1053.0;85.0;0;0;1;0;0;0;0;0;1;0;70.0
435846;15;631.0;45.0;965.0;43.0;1054.0;81.0;0;0;1;0;0;0;0;0;0;1;52.0
435847;15;663.0;80.0;1014.0;63.0;1082.0;84.0;0;0;1;0;0;1;0;0;0;0;90.0
435848;15;654.0;124.0;1015.0;113.0;1016.0;198.0;0;0;1;0;0;0;1;0;0;0;86.0
435849;15;677.0;41.0;1032.0;47.0;1009.0;71.0;0;0;1;0;0;0;0;1;0;0;42.0
435889;15;397.0;66.0;1021.0;55.0;1349.0;55.0;0;0;1;0;1;0;0;0;0;0;41.0
435890;15;382.0;70.0;1020.0;61.0;1354.0;72.0;0;0;1;0;0;0;0;0;1;0;58.0
435891;15;384.0;52.0;1015.0;45.0;1349.0;43.0;0;0;1;0;0;0;0;0;0;1;45.0
435892;15;357.0;90.0;1020.0;80.0;1371.0;63.0;0;0;1;0;0;1;0;0;0;0;85.0
435893;15;403.0;86.0;1057.0;124.0;1418.0;113.0;0;0;1;0;0;0;1;0;0;0;178.0
435894;15;391.0;42.0;1068.0;41.0;1423.0;47.0;0;0;1;0;0;0;0;1;0;0;52.0
435968;16;1642.0;75.0;2256.0;50.0;2558.0;44.0;0;0;1;1;0;0;0;0;0;0;90.0
435969;16;1237.0;41.0;1634.0;66.0;2258.0;55.0;0;0;1;0;1;0;0;0;0;0;67.0
435970;16;1237.0;58.0;1619.0;70.0;2257.0;61.0;0;0;1;0;0;0;0;0;1;0;57.0
435971;16;1224.0;45.0;1608.0;52.0;2239.0;45.0;0;0;1;0;0;0;0;0;0;1;45.0
435972;16;1204.0;85.0;1561.0;90.0;2224.0;80.0;0;0;1;0;0;1;0;0;0;0;63.0
435973;16;1192.0;178.0;1595.0;86.0;2249.0;124.0;0;0;1;0;0;0;1;0;0;0;146.0
435974;16;1190.0;52.0;1581.0;42.0;2258.0;41.0;0;0;1;0;0;0;0;1;0;0;50.0
436003;16;107.0;90.0;1749.0;75.0;2363.0;50.0;0;0;1;1;0;0;0;0;0;0;65.0
